p_val	pct.1	pct.2	p_val_adj	diff
ENST00000586396.2	0.504301815899046	0.068	0	1	0.00228975824564577
ENST00000434494.5	0.506066109512676	0.169	0.251	1	-0.00333845771898864
ENST00000644549.1	0.507307296300899	0.032	0	1	0.00163133809681806
ENST00000352983.6	0.513438386953519	0	0.34	1	0.000105727344652994
ENST00000274242.9	0.517328414636541	0.106	0.072	1	0.00333240109076476
ENST00000301281.10	0.518529478801969	0	0.236	1	-0.00484905553586226
ENST00000396705.9	0.52457408247122	0	0.366	1	0.00052924276399834
ENST00000507160.5	0.538883872100417	0	0.173	1	-0.0032931788826563
ENST00000442729.6	0.542494964445206	0.085	0	1	0.00143743582580829
ENST00000514688.1	0.542877331259243	0.081	0.095	1	-0.00291194694450553
ENST00000473291.1	0.54462574319384	0.432	0.303	1	-0.00711743852481157
ENST00000370355.2	0.548220448742774	0.165	0	1	-0.00191335656566509
ENST00000524851.5	0.549780893361234	0	0.112	1	-0.00586966171875627
ENST00000573714.5	0.554529805057302	0.127	0	1	0.00266853085445672
ENST00000562025.1	0.559272342250312	0	0.118	1	-0.00502864362411885
ENST00000554566.5	0.561662534527526	0.434	0.308	1	-0.0113182010112113
ENST00000422514.6	0.563766158771361	0	0.121	1	-0.000862336481774617
ENST00000534719.1	0.571142991101048	0.036	0	1	0.00161918658335856
ENST00000371646.9	0.586062465419802	0.241	0.357	1	-0.000254647559503161
ENST00000468027.5	0.600288942025984	0.042	0	1	0.00153449745802233
ENST00000555292.1	0.608247503917765	0.261	0	1	-0.00214109208054377
ENST00000511717.6	0.611962207333105	0.061	0	1	0.00099459741903023
ENST00000639516.1	0.614588336330913	0.267	0.32	1	-0.00945631106597494
ENST00000566753.5	0.623970985384502	0	0.084	1	-0.00437666817678859
ENST00000610953.3	0.629130759051553	0	0.086	1	-0.00322133393342049
ENST00000515712.1	0.629478145112202	0.068	0	1	0.00201934611412052
ENST00000344548.7	0.630829843977301	0.042	0	1	-0.000332458397513298
ENST00000437747.6	0.638776200934464	0	0.092	1	-0.0120796708235607
ENST00000369626.7	0.65109667510221	0.178	0.107	1	-0.00620354676578955
ENST00000514764.5	0.653703694674764	0.415	0.098	1	-0.00240015998068966
ENST00000336023.9	0.656433632788461	0	0.372	1	0.00180463090850919
ENST00000466227.6	0.666605300985295	0.028	0	1	0.00228398908809778
ENST00000629090.2	0.666605300985295	0.028	0	1	0.00228398908809778
ENST00000340717.4	0.669523752685264	0.29	0.101	1	-0.00558897123968491
ENST00000301843.12	0.674448224389899	0.095	0	1	0.000413590712383961
